fecha,producto,cantidad,precio
2026-03-23,Auriculares BT,12,89.75
2026-01-29,Lampara LED,2,206.23
2026-04-25,Teclado mecanico,10,132.35
2026-01-04,"Monitor 24""",4,156.54
2026-01-04,"Monitor 24""",12,198.46
2026-03-11,"Monitor 24""",8,180.88
2026-04-14,Alfombrilla XXL,13,56.29
2026-02-24,Webcam HD,3,72.43
2026-04-08,Teclado mecanico,2,120.17
2026-02-15,Hub USB,5,244.06
2026-04-04,Soporte laptop,2,292.19
2026-02-18,Soporte laptop,5,250.52
2026-03-21,Hub USB,4,214.32
2026-01-06,"Monitor 24""",13,93.91
2026-01-11,Disipador CPU,2,120.23
2026-02-28,Disipador CPU,6,57.16
2026-02-15,Microfono,5,213.52
2026-03-29,Teclado mecanico,10,194.13
2026-03-10,"Monitor 24""",3,144.05
2026-02-04,Lampara LED,9,73.68
2026-02-11,"Monitor 24""",14,19.3
2026-02-10,Webcam HD,2,71.18
2026-05-01,Fuente 650W,12,101.25
2026-03-25,RAM 16GB,15,275.21
2026-02-28,Webcam HD,3,81.51
2026-03-13,Webcam HD,12,179.52
2026-04-25,RAM 16GB,6,73.59
2026-01-18,Cable USB-C,2,229.17
2026-04-21,Mouse gaming,11,56.38
2026-03-29,Hub USB,2,121.57
2026-03-18,Soporte laptop,5,291.6
2026-04-21,Microfono,12,43.21
2026-04-24,Alfombrilla XXL,5,232.88
2026-02-13,Webcam HD,7,55.86
2026-01-01,Fuente 650W,12,86.37
2026-03-06,Soporte laptop,15,40.85
2026-03-22,Disipador CPU,11,157.21
2026-01-26,SSD 1TB,13,56.84
2026-04-10,Fuente 650W,1,183.68
2026-03-04,Teclado mecanico,15,115.25
2026-04-17,"Monitor 24""",1,79.84
2026-03-14,Teclado mecanico,12,150.93
2026-01-09,Alfombrilla XXL,3,47.22
2026-03-02,Mouse gaming,5,163.02
2026-03-19,"Monitor 24""",15,166.39
2026-04-04,"Monitor 24""",12,100.39
2026-03-27,SSD 1TB,8,270.88
2026-02-27,"Monitor 24""",4,28.56
2026-01-03,Soporte laptop,4,180.64
2026-01-01,Lampara LED,11,27.06
2026-01-09,Disipador CPU,6,30.54
2026-01-31,Microfono,8,72.12
2026-01-17,Fuente 650W,15,175.59
2026-03-02,Alfombrilla XXL,8,244.16
2026-01-25,Teclado mecanico,11,134.99
2026-02-24,Cable USB-C,14,221.42
2026-03-28,Microfono,2,27.57
2026-04-04,Alfombrilla XXL,14,41.68
2026-01-25,Soporte laptop,8,50.64
2026-01-24,Cable USB-C,4,263.59
2026-01-10,Alfombrilla XXL,14,258.22
2026-01-13,Microfono,9,252.44
2026-01-12,Mouse gaming,7,150.83
2026-01-28,Fuente 650W,1,57.73
2026-01-01,Webcam HD,15,237.37
2026-02-28,RAM 16GB,12,287.61
2026-04-11,Microfono,12,151.12
2026-01-25,"Monitor 24""",1,177.95
2026-03-11,Lampara LED,6,26.57
2026-03-16,Soporte laptop,15,257.28
2026-01-21,Soporte laptop,2,256.88
2026-01-09,Teclado mecanico,11,259.92
2026-02-21,Fuente 650W,10,81.39
2026-03-18,Hub USB,2,131.57
2026-03-16,Soporte laptop,6,281.05
2026-01-27,Lampara LED,6,79.21
2026-02-20,Microfono,11,96.99
2026-02-10,Auriculares BT,8,190.13
2026-03-14,Teclado mecanico,9,71.8
2026-02-03,Fuente 650W,6,265.44
2026-04-23,SSD 1TB,5,55.74
2026-04-17,Lampara LED,5,187.38
2026-04-14,Soporte laptop,1,203.67
2026-03-12,Fuente 650W,11,40.03
2026-04-23,Webcam HD,2,268.01
2026-04-06,Mouse gaming,5,91.7
2026-01-27,SSD 1TB,4,209.36
2026-04-20,Soporte laptop,8,82.82
2026-04-27,Teclado mecanico,11,132.83
2026-02-05,Auriculares BT,6,233.61
2026-03-23,Mouse gaming,12,138.12
2026-04-01,Soporte laptop,1,42.43
2026-05-01,Fuente 650W,3,168.21
2026-04-17,Hub USB,9,52.94
2026-01-17,Webcam HD,6,270.69
2026-04-12,Fuente 650W,6,70.91
2026-02-01,Teclado mecanico,6,236.22
2026-04-24,Hub USB,12,54.81
2026-04-30,Disipador CPU,3,293.09
2026-04-14,Fuente 650W,7,17.18
2026-04-05,Alfombrilla XXL,15,129.39
2026-03-27,Alfombrilla XXL,4,87.36
2026-04-11,Teclado mecanico,7,262.92
2026-04-20,"Monitor 24""",4,246.8
2026-02-28,Webcam HD,14,240.64
2026-01-30,Auriculares BT,11,66.0
2026-02-12,Disipador CPU,2,290.39
2026-02-05,Microfono,9,125.9
2026-04-18,SSD 1TB,1,43.44
2026-02-03,Hub USB,5,21.08
2026-03-18,SSD 1TB,12,238.05
2026-02-25,Soporte laptop,2,121.7
2026-03-15,Webcam HD,1,215.54
2026-01-01,Fuente 650W,13,166.14
2026-04-03,Lampara LED,11,67.13
2026-02-25,Microfono,15,105.75
2026-02-10,Disipador CPU,2,218.72
2026-02-08,Webcam HD,11,128.42
2026-02-21,Webcam HD,9,46.9
2026-02-23,RAM 16GB,11,226.95
